Slot,File,AspectRatio,Classification,Dimensions,Bytes,AssociatedID,Role
Catalogue Primary,/media/generated/dp063-mist-textured-wall-diptych-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,240494,DP063,Product Primary Visual
Catalogue Primary,/media/generated/dp064-verdure-large-wall-disc-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,256682,DP064,Product Primary Visual
Catalogue Primary,/media/generated/dp060-strata-layered-wall-relief-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,216342,DP060,Product Primary Visual
Catalogue Primary,/media/generated/dp054-haven-compact-desk-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,324506,DP054,Product Primary Visual
Catalogue Primary,/media/generated/dp062-tide-botanical-wall-panel-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,280730,DP062,Product Primary Visual
Catalogue Primary,/media/generated/dp061-solstice-circular-wall-piece-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,291154,DP061,Product Primary Visual
Catalogue Primary,/media/generated/dp059-sequence-wall-triptych-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,257622,DP059,Product Primary Visual
Catalogue Primary,/media/generated/dp055-linework-executive-desk-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,232674,DP055,Product Primary Visual
Catalogue Primary,/media/generated/dp056-terrace-studio-desk-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,304008,DP056,Product Primary Visual
Catalogue Primary,/media/generated/dp050-fold-sculptural-bench-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,226718,DP050,Product Primary Visual
Catalogue Primary,/media/generated/dp053-stillpoint-study-desk-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,235988,DP053,Product Primary Visual
Catalogue Primary,/media/generated/dp052-meridian-writing-desk-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,286606,DP052,Product Primary Visual
Catalogue Primary,/media/generated/dp046-rill-counter-stool-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,206282,DP046,Product Primary Visual
Catalogue Primary,/media/generated/dp045-aster-dining-chair-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,299382,DP045,Product Primary Visual
Catalogue Primary,/media/generated/dp047-flint-accent-stool-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,225728,DP047,Product Primary Visual
Catalogue Primary,/media/generated/dp049-forest-long-bench-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,238266,DP049,Product Primary Visual
Catalogue Primary,/media/generated/dp042-canyon-split-level-console-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,257342,DP042,Product Primary Visual
Catalogue Primary,/media/generated/dp044-crescent-lounge-chair-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,264576,DP044,Product Primary Visual
Catalogue Primary,/media/generated/dp036-root-sculptural-base-console-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,261492,DP036,Product Primary Visual
Catalogue Primary,/media/generated/dp040-trace-metal-frame-console-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,249126,DP040,Product Primary Visual
Catalogue Primary,/media/generated/dp034-eclipse-round-side-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,212078,DP034,Product Primary Visual
Catalogue Primary,/media/generated/dp038-horizon-long-console-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,271490,DP038,Product Primary Visual
Catalogue Primary,/media/generated/dp033-silt-compact-bedside-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,230584,DP033,Product Primary Visual
Catalogue Primary,/media/generated/dp032-brook-floating-top-side-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,225026,DP032,Product Primary Visual
Catalogue Primary,/media/generated/dp037-passage-entry-console-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,234468,DP037,Product Primary Visual
Catalogue Primary,/media/generated/dp031-lumen-translucent-side-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,232272,DP031,Product Primary Visual
Catalogue Primary,/media/generated/dp030-loam-drum-side-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,278532,DP030,Product Primary Visual
Catalogue Primary,/media/generated/dp029-nocturne-bedside-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,245954,DP029,Product Primary Visual
Catalogue Primary,/media/generated/dp026-dewdrop-pedestal-side-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,255662,DP026,Product Primary Visual
Catalogue Primary,/media/generated/dp022-slate-river-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,303874,DP022,Product Primary Visual
Catalogue Primary,/media/generated/dp021-moss-square-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,337922,DP021,Product Primary Visual
Catalogue Primary,/media/generated/dp028-reed-tall-side-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,272940,DP028,Product Primary Visual
Catalogue Primary,/media/generated/dp020-halo-ring-base-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,262350,DP020,Product Primary Visual
Catalogue Primary,/media/generated/dp019-cove-low-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,233962,DP019,Product Primary Visual
Catalogue Primary,/media/generated/dp027-arc-c-shape-side-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,264010,DP027,Product Primary Visual
Catalogue Primary,/media/generated/dp018-delta-two-level-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,293714,DP018,Product Primary Visual
Catalogue Primary,/media/generated/dp017-pebble-sculptural-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,300676,DP017,Product Primary Visual
Catalogue Primary,/media/generated/dp016-drift-nesting-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,266686,DP016,Product Primary Visual
Catalogue Primary,/media/generated/dp015-contour-oval-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,327014,DP015,Product Primary Visual
Catalogue Primary,/media/generated/dp024-terra-plinth-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,294916,DP024,Product Primary Visual
Catalogue Primary,/media/generated/dp012-grove-communal-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,258014,DP012,Product Primary Visual
Catalogue Primary,/media/generated/dp023-current-asymmetric-coffee-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,371032,DP023,Product Primary Visual
Catalogue Primary,/media/generated/dp011-dune-smoked-resin-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,310048,DP011,Product Primary Visual
Catalogue Primary,/media/generated/dp005-estuary-oval-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,279814,DP005,Product Primary Visual
Catalogue Primary,/media/generated/dp010-ridge-bronze-inlay-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,266134,DP010,Product Primary Visual
Catalogue Primary,/media/generated/dp009-lagoon-pedestal-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,364776,DP009,Product Primary Visual
Catalogue Primary,/media/generated/dp008-umber-twin-base-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,371060,DP008,Product Primary Visual
Catalogue Primary,/media/generated/dp007-tidal-rectangular-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,266532,DP007,Product Primary Visual
Catalogue Primary,/media/generated/dp006-canopy-round-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,237922,DP006,Product Primary Visual
Catalogue Primary,/media/generated/dp004-monolith-long-span-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,296026,DP004,Product Primary Visual
Catalogue Primary,/media/generated/dp003-verdant-split-slab-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,283002,DP003,Product Primary Visual
Catalogue Primary,/media/generated/dp077-estuary-reception-counter-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,261808,DP077,Product Primary Visual
Catalogue Primary,/media/generated/dp043-petal-sculptural-chair-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,227996,DP043,Product Primary Visual
Catalogue Primary,/media/generated/dp051-single-slab-atelier-desk-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,397578,DP051,Product Primary Visual
Catalogue Primary,/media/generated/dp057-horizon-band-wall-panel-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,289702,DP057,Product Primary Visual
Catalogue Primary,/media/generated/dp014-orbit-circular-centre-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,284260,DP014,Product Primary Visual
Catalogue Primary,/media/generated/dp025-twinleaf-matched-side-table-pair-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,295980,DP025,Product Primary Visual
Catalogue Primary,/media/generated/dp002-stillwater-full-pour-dining-table-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,260922,DP002,Product Primary Visual
Catalogue Detail,/media/generated/dp114-matching-detail-4x5.webp,4:5,AI_CONCEPT,2048x2560,277074,DP114,Product Secondary Detail
Catalogue Detail,/media/generated/dp085-matching-detail-4x5.webp,4:5,AI_CONCEPT,2048x2560,271532,DP085,Product Secondary Detail
Catalogue Detail,/media/generated/dp069-matching-detail-4x5.webp,4:5,AI_CONCEPT,2048x2560,282274,DP069,Product Secondary Detail
Catalogue Detail,/media/generated/dp048-matching-detail-4x5.webp,4:5,AI_CONCEPT,2048x2560,270340,DP048,Product Secondary Detail
Catalogue Detail,/media/generated/dp013-matching-detail-4x5.webp,4:5,AI_CONCEPT,2048x2560,241314,DP013,Product Secondary Detail
Catalogue Detail,/media/generated/dp035-matching-detail-4x5.webp,4:5,AI_CONCEPT,2048x2560,138914,DP035,Product Secondary Detail
Catalogue Detail,/media/generated/dp001-matching-detail-4x5.webp,4:5,AI_CONCEPT,2048x2560,222318,DP001,Product Secondary Detail
